Date,CustomerID,Region,Product,Quantity,Revenue,Cost,Profit,Feedback
2023-01-22,1055,South,Product A,3,379.52,208.05,171.47,Loved it! Exceeded my expectations.
2023-01-22,2245,South,Product D,14,2047.55,1045.74,1001.81,Loved it! Exceeded my expectations.
2023-01-22,2279,East,Product D,14,2549.1,1210.83,1338.27,"Average experience, nothing special."
2023-01-23,1949,North,Product C,5,1157.28,530.41,626.87,The delivery was late and support was not helpful.
2023-01-23,1825,North,Product A,13,1652.86,840.48,812.38,Good quality but shipping took too long.
2023-01-23,1665,Central,Product B,10,857.92,486.74,371.18,"Not worth the price, quite disappointed."
2023-01-23,2129,West,Product E,6,419.43,222.4,197.03,"Not worth the price, quite disappointed."
2023-01-23,1617,North,Product C,13,2435.88,1248.74,1187.14,"Excellent service, very satisfied with the product quality."
2023-01-24,1693,South,Product E,10,553.43,273.84,279.59,"Terrible experience, product was damaged."
2023-01-25,1013,North,Product B,2,147.15,82.14,65.01,"Fantastic product, highly recommend to others."
2023-01-25,1897,Central,Product B,14,1192.46,644.86,547.6,"Excellent service, very satisfied with the product quality."
2023-01-25,2178,West,Product B,4,347.48,233.54,113.94,"Excellent service, very satisfied with the product quality."
2023-01-25,1734,North,Product B,2,163.21,92.7,70.51,"Excellent service, very satisfied with the product quality."
2023-01-26,2081,North,Product D,11,1912.54,1280.94,631.6,"Great value for money, will buy again."
2023-01-26,1549,West,Product C,1,220.49,153.54,66.95,Loved it! Exceeded my expectations.
2023-01-27,1055,East,Product D,10,1650.82,1055.5,595.32,"Not worth the price, quite disappointed."
2023-01-27,2035,West,Product D,6,996.95,610.78,386.17,"Terrible experience, product was damaged."
2023-01-28,1753,West,Product E,14,840.65,401.74,438.91,"Customer support resolved my issue quickly, thank you."
2023-01-28,1573,East,Product C,4,944.76,595.92,348.84,"Terrible experience, product was damaged."
2023-01-28,2072,North,Product C,12,2322.73,1592.91,729.82,"Average experience, nothing special."
2023-01-28,2209,South,Product D,3,412.46,267.91,144.55,"Customer support resolved my issue quickly, thank you."
2023-01-29,2270,South,Product A,5,605.52,273.47,332.05,"Not worth the price, quite disappointed."
2023-01-29,1940,South,Product C,7,1668.28,965.57,702.71,"Excellent service, very satisfied with the product quality."
2023-01-29,1255,West,Product E,10,674.97,462.12,212.85,"Excellent service, very satisfied with the product quality."
2023-01-29,1737,North,Product D,12,2046.93,1253.53,793.4,"Customer support resolved my issue quickly, thank you."
2023-01-29,2246,North,Product B,3,286.05,169.62,116.43,The delivery was late and support was not helpful.
2023-01-29,1762,South,Product E,4,283.36,155.18,128.18,"Customer support resolved my issue quickly, thank you."
2023-01-31,2365,Central,Product A,5,599.56,394.82,204.74,"Not worth the price, quite disappointed."
2023-01-31,2151,East,Product A,8,1103.17,770.05,333.12,"Fantastic product, highly recommend to others."
2023-02-01,1432,Central,Product B,14,1257.89,700.21,557.68,"Fantastic product, highly recommend to others."
2023-02-01,1092,North,Product A,5,774.2,495.46,278.74,"Excellent service, very satisfied with the product quality."
2023-02-02,1060,Central,Product E,11,664.57,308.53,356.04,The delivery was late and support was not helpful.
2023-02-03,1484,Central,Product C,4,1034.45,612.12,422.33,"Average experience, nothing special."
2023-02-03,1246,East,Product B,9,759.52,408.77,350.75,"Customer support resolved my issue quickly, thank you."
2023-02-03,2147,West,Product C,3,675.49,458.96,216.53,"Terrible experience, product was damaged."
2023-02-04,1896,South,Product B,14,1395.88,687.22,708.66,Good quality but shipping took too long.
2023-02-04,1211,East,Product E,12,703.47,488.76,214.71,Loved it! Exceeded my expectations.
2023-02-04,1614,North,Product D,14,2149.64,1231.35,918.29,"Great value for money, will buy again."
2023-02-05,2105,North,Product A,3,359.49,176.93,182.56,"Great value for money, will buy again."
2023-02-05,1075,East,Product E,5,380.62,218.9,161.72,"Not worth the price, quite disappointed."
2023-02-05,2471,East,Product A,14,1905.23,1278.88,626.35,Good quality but shipping took too long.
2023-02-06,2361,North,Product E,12,746.74,497.78,248.96,"Fantastic product, highly recommend to others."
2023-02-06,2172,Central,Product E,13,805.56,489.58,315.98,"Not worth the price, quite disappointed."
2023-02-06,1142,South,Product E,7,499.37,279.67,219.7,"Fantastic product, highly recommend to others."
2023-02-07,1499,East,Product A,4,576.06,367.57,208.49,The delivery was late and support was not helpful.
2023-02-07,1790,East,Product A,14,2123.2,974.45,1148.75,"Terrible experience, product was damaged."
2023-02-07,1848,West,Product B,8,636.43,382.55,253.88,"Terrible experience, product was damaged."
2023-02-08,1933,Central,Product D,8,1475.0,835.28,639.72,"Great value for money, will buy again."
2023-02-08,1446,East,Product B,10,874.84,512.44,362.4,"Customer support resolved my issue quickly, thank you."
2023-02-08,1269,North,Product A,11,1424.65,747.06,677.59,Loved it! Exceeded my expectations.
2023-02-08,1211,West,Product E,4,259.03,146.93,112.1,Loved it! Exceeded my expectations.
2023-02-09,1780,Central,Product B,4,382.57,261.31,121.26,"Not worth the price, quite disappointed."
2023-02-09,1648,North,Product B,7,603.68,284.85,318.83,"Customer support resolved my issue quickly, thank you."
2023-02-09,2451,Central,Product E,7,496.42,230.79,265.63,Good quality but shipping took too long.
2023-02-10,1428,West,Product D,4,669.1,421.65,247.45,The delivery was late and support was not helpful.
2023-02-10,1563,East,Product B,3,244.91,166.67,78.24,"Not worth the price, quite disappointed."
2023-02-10,1679,East,Product E,7,496.66,277.99,218.67,"Not worth the price, quite disappointed."
2023-02-10,1383,South,Product B,8,639.41,410.94,228.47,"Customer support resolved my issue quickly, thank you."
2023-02-10,2029,West,Product B,10,979.47,569.86,409.61,"Average experience, nothing special."
2023-02-10,2140,East,Product D,6,958.26,529.83,428.43,"Excellent service, very satisfied with the product quality."
2023-02-11,2270,North,Product E,14,822.28,450.33,371.95,The delivery was late and support was not helpful.
2023-02-11,1927,Central,Product A,3,424.43,258.83,165.6,"Not worth the price, quite disappointed."
2023-02-11,1186,Central,Product B,2,167.46,75.87,91.59,"Fantastic product, highly recommend to others."
2023-02-12,2339,South,Product E,3,204.16,124.97,79.19,Good quality but shipping took too long.
2023-02-12,1194,North,Product D,4,754.39,345.96,408.43,"Great value for money, will buy again."
2023-02-12,1377,East,Product C,12,2384.46,1127.29,1257.17,"Not worth the price, quite disappointed."
2023-02-12,1250,North,Product A,13,1844.63,1004.72,839.91,"Customer support resolved my issue quickly, thank you."
2023-02-12,2333,West,Product B,5,388.91,239.36,149.55,"Not worth the price, quite disappointed."
2023-02-14,1305,Central,Product D,1,154.16,80.7,73.46,"Average experience, nothing special."
2023-02-16,1457,South,Product B,13,1061.83,723.46,338.37,"Customer support resolved my issue quickly, thank you."
2023-02-16,2306,North,Product B,10,978.45,657.31,321.14,"Not worth the price, quite disappointed."
2023-02-16,1060,South,Product D,3,497.19,261.02,236.17,"Terrible experience, product was damaged."
2023-02-16,1392,South,Product E,1,58.51,36.27,22.24,"Customer support resolved my issue quickly, thank you."
2023-02-16,1138,North,Product B,6,580.44,360.2,220.24,"Average experience, nothing special."
2023-02-17,1383,East,Product C,6,1533.2,928.31,604.89,"Terrible experience, product was damaged."
2023-02-18,2436,West,Product D,14,2312.69,1594.31,718.38,"Fantastic product, highly recommend to others."
2023-02-18,1290,North,Product D,6,885.6,601.14,284.46,"Average experience, nothing special."
2023-02-18,1088,North,Product D,11,2111.22,1472.54,638.68,"Not worth the price, quite disappointed."
2023-02-18,1044,West,Product C,11,2150.03,1462.42,687.61,"Terrible experience, product was damaged."
2023-02-19,1593,North,Product A,9,1308.56,850.42,458.14,"Great value for money, will buy again."
2023-02-19,1426,North,Product D,12,2190.39,1416.33,774.06,"Fantastic product, highly recommend to others."
2023-02-19,1952,East,Product C,14,3587.04,2377.8,1209.24,"Average experience, nothing special."
2023-02-20,1165,North,Product D,11,1668.67,782.86,885.81,"Terrible experience, product was damaged."
2023-02-20,2279,North,Product E,13,844.7,499.48,345.22,"Terrible experience, product was damaged."
2023-02-20,2148,North,Product A,6,757.76,385.09,372.67,"Fantastic product, highly recommend to others."
2023-02-20,1114,South,Product A,14,2123.48,1319.68,803.8,"Customer support resolved my issue quickly, thank you."
2023-02-22,1111,South,Product A,8,929.38,473.4,455.98,Loved it! Exceeded my expectations.
2023-02-22,1960,North,Product A,4,548.56,333.46,215.1,"Excellent service, very satisfied with the product quality."
2023-02-22,1192,Central,Product E,5,315.2,165.57,149.63,The delivery was late and support was not helpful.
2023-02-23,1553,West,Product C,4,968.57,503.5,465.07,"Terrible experience, product was damaged."
2023-02-23,1389,South,Product E,6,358.5,184.7,173.8,"Great value for money, will buy again."
2023-02-23,1327,North,Product C,4,777.07,413.02,364.05,Loved it! Exceeded my expectations.
2023-02-24,1012,South,Product C,7,1424.51,704.28,720.23,Loved it! Exceeded my expectations.
2023-02-24,2398,Central,Product E,6,461.01,215.5,245.51,Good quality but shipping took too long.
2023-02-24,1652,South,Product B,10,986.09,622.57,363.52,"Great value for money, will buy again."
2023-02-24,1642,South,Product E,3,192.59,111.29,81.3,"Customer support resolved my issue quickly, thank you."
2023-02-24,2077,East,Product D,5,761.12,414.96,346.16,"Customer support resolved my issue quickly, thank you."
2023-02-25,2358,East,Product E,2,147.68,68.09,79.59,"Excellent service, very satisfied with the product quality."
2023-02-26,1333,West,Product D,13,2256.08,1108.59,1147.49,"Fantastic product, highly recommend to others."
2023-02-27,2362,West,Product B,10,850.89,473.15,377.74,"Not worth the price, quite disappointed."
2023-02-27,1068,West,Product B,1,78.29,53.07,25.22,Loved it! Exceeded my expectations.
2023-02-27,2334,North,Product E,2,128.6,71.61,56.99,Good quality but shipping took too long.
2023-02-28,1284,West,Product C,4,1006.77,640.89,365.88,"Great value for money, will buy again."
2023-02-28,2332,East,Product D,3,462.83,294.56,168.27,"Not worth the price, quite disappointed."
2023-03-01,1684,North,Product C,11,2174.43,1128.33,1046.1,"Excellent service, very satisfied with the product quality."
2023-03-02,2429,East,Product D,1,172.92,80.24,92.68,The delivery was late and support was not helpful.
2023-03-02,2168,West,Product D,8,1586.03,1102.21,483.82,"Customer support resolved my issue quickly, thank you."
2023-03-02,2116,South,Product C,11,2722.18,1778.32,943.86,Loved it! Exceeded my expectations.
2023-03-03,2496,North,Product B,14,1397.71,742.49,655.22,"Great value for money, will buy again."
2023-03-03,1318,South,Product B,9,893.14,584.44,308.7,"Average experience, nothing special."
2023-03-04,2098,North,Product D,2,351.01,190.5,160.51,"Terrible experience, product was damaged."
2023-03-04,2270,North,Product A,4,595.89,327.23,268.66,"Fantastic product, highly recommend to others."
2023-03-05,2253,West,Product A,6,921.31,578.4,342.91,"Excellent service, very satisfied with the product quality."
2023-03-06,2458,East,Product A,14,1941.12,1204.57,736.55,"Average experience, nothing special."
2023-03-06,1680,North,Product E,5,394.05,237.37,156.68,"Not worth the price, quite disappointed."
2023-03-07,1974,West,Product B,7,616.59,333.34,283.25,Loved it! Exceeded my expectations.
2023-03-07,1145,East,Product A,12,1611.96,797.0,814.96,"Average experience, nothing special."
2023-03-08,2085,South,Product E,14,888.64,457.0,431.64,"Customer support resolved my issue quickly, thank you."
2023-03-08,1063,North,Product B,4,338.69,192.49,146.2,"Terrible experience, product was damaged."
2023-03-09,1330,West,Product D,13,2030.27,1145.98,884.29,"Not worth the price, quite disappointed."
2023-03-09,1434,Central,Product D,7,1149.65,785.81,363.84,"Excellent service, very satisfied with the product quality."
2023-03-10,1802,North,Product D,10,1691.37,1144.9,546.47,Good quality but shipping took too long.
2023-03-10,1452,North,Product B,7,591.29,377.95,213.34,"Fantastic product, highly recommend to others."
2023-03-10,2126,East,Product B,10,930.83,475.84,454.99,"Not worth the price, quite disappointed."
2023-03-13,2269,North,Product D,13,2023.05,919.27,1103.78,"Fantastic product, highly recommend to others."
2023-03-14,2325,North,Product B,8,840.6,421.14,419.46,"Customer support resolved my issue quickly, thank you."
2023-03-14,2378,Central,Product E,11,726.23,434.89,291.34,"Average experience, nothing special."
2023-03-14,1969,Central,Product D,8,1533.66,896.28,637.38,"Not worth the price, quite disappointed."
2023-03-14,1492,West,Product A,10,1231.25,574.73,656.52,"Not worth the price, quite disappointed."
2023-03-15,1446,Central,Product E,2,125.28,66.71,58.57,"Terrible experience, product was damaged."
2023-03-16,2381,East,Product E,8,627.11,287.76,339.35,The delivery was late and support was not helpful.
2023-03-16,1512,South,Product E,8,492.51,267.34,225.17,Good quality but shipping took too long.
2023-03-16,2214,North,Product E,3,189.21,129.05,60.16,"Excellent service, very satisfied with the product quality."
2023-03-16,2423,East,Product E,10,648.41,381.07,267.34,"Average experience, nothing special."
2023-03-16,1140,East,Product A,3,418.71,259.39,159.32,"Average experience, nothing special."
2023-03-16,1944,Central,Product E,3,219.96,123.42,96.54,"Customer support resolved my issue quickly, thank you."
2023-03-17,2058,Central,Product A,5,603.17,360.57,242.6,Loved it! Exceeded my expectations.
2023-03-17,1493,South,Product A,13,1904.6,883.13,1021.47,Loved it! Exceeded my expectations.
2023-03-18,1133,Central,Product B,13,1059.6,708.34,351.26,"Terrible experience, product was damaged."
2023-03-19,1867,West,Product B,13,1214.31,809.94,404.37,"Terrible experience, product was damaged."
2023-03-19,1684,South,Product B,10,964.68,458.07,506.61,Loved it! Exceeded my expectations.
2023-03-19,1819,South,Product B,10,964.16,610.54,353.62,"Fantastic product, highly recommend to others."
2023-03-20,2353,North,Product A,1,151.63,82.89,68.74,"Average experience, nothing special."
2023-03-20,1660,West,Product C,1,247.48,116.51,130.97,"Excellent service, very satisfied with the product quality."
2023-03-20,1251,North,Product A,1,130.19,79.32,50.87,Loved it! Exceeded my expectations.
2023-03-21,1282,Central,Product E,7,515.04,315.97,199.07,Good quality but shipping took too long.
2023-03-22,1070,West,Product C,10,2227.28,1016.77,1210.51,Loved it! Exceeded my expectations.
2023-03-23,1414,Central,Product E,1,61.38,29.54,31.84,"Great value for money, will buy again."
2023-03-23,2238,North,Product E,12,743.78,431.77,312.01,"Average experience, nothing special."
2023-03-23,1272,North,Product A,7,839.84,544.12,295.72,"Excellent service, very satisfied with the product quality."
2023-03-24,1807,Central,Product E,10,719.64,326.71,392.93,"Fantastic product, highly recommend to others."
2023-03-24,1633,West,Product C,1,231.85,137.64,94.21,"Average experience, nothing special."
2023-03-24,1839,South,Product D,2,376.03,202.03,174.0,Loved it! Exceeded my expectations.
2023-03-24,1973,South,Product A,12,1815.31,936.97,878.34,"Not worth the price, quite disappointed."
2023-03-25,2398,South,Product E,12,768.59,491.03,277.56,Loved it! Exceeded my expectations.
2023-03-26,1453,East,Product E,13,811.29,394.6,416.69,"Excellent service, very satisfied with the product quality."
2023-03-27,2001,Central,Product B,12,982.52,575.5,407.02,"Not worth the price, quite disappointed."
2023-03-27,2145,East,Product E,2,126.32,80.82,45.5,The delivery was late and support was not helpful.
2023-03-27,1012,West,Product A,2,306.42,153.83,152.59,"Not worth the price, quite disappointed."
2023-03-28,2004,East,Product D,3,540.26,363.27,176.99,"Average experience, nothing special."
2023-03-28,1107,North,Product D,8,1497.79,991.05,506.74,"Average experience, nothing special."
2023-03-28,2117,South,Product C,4,791.7,521.53,270.17,"Not worth the price, quite disappointed."
2023-03-28,1680,East,Product B,3,311.89,198.04,113.85,Loved it! Exceeded my expectations.
2023-03-29,1136,West,Product E,11,688.8,467.38,221.42,"Average experience, nothing special."
2023-03-29,1314,South,Product C,2,494.43,280.81,213.62,"Customer support resolved my issue quickly, thank you."
2023-03-30,1812,South,Product A,12,1834.18,840.6,993.58,Good quality but shipping took too long.
2023-03-30,2230,East,Product C,5,1241.27,650.96,590.31,"Customer support resolved my issue quickly, thank you."
2023-03-31,1096,North,Product E,2,139.28,90.7,48.58,"Great value for money, will buy again."
2023-03-31,1470,Central,Product D,4,768.45,485.77,282.68,"Not worth the price, quite disappointed."
2023-03-31,1715,South,Product A,3,388.26,252.23,136.03,"Average experience, nothing special."
2023-03-31,2378,Central,Product A,7,904.14,576.13,328.01,"Average experience, nothing special."
2023-03-31,1756,East,Product E,14,894.16,501.92,392.24,"Great value for money, will buy again."
2023-04-01,2026,West,Product E,14,851.65,573.58,278.07,"Not worth the price, quite disappointed."
2023-04-02,2067,East,Product E,3,218.44,122.28,96.16,"Terrible experience, product was damaged."
2023-04-02,2319,South,Product B,7,564.37,380.53,183.84,"Average experience, nothing special."
2023-04-02,1011,Central,Product D,10,1589.19,718.19,871.0,The delivery was late and support was not helpful.
2023-04-02,1974,East,Product C,12,2585.57,1742.63,842.94,"Great value for money, will buy again."
2023-04-02,1552,East,Product A,12,1502.35,916.23,586.12,"Terrible experience, product was damaged."
2023-04-03,1277,West,Product B,1,88.83,45.25,43.58,Good quality but shipping took too long.
2023-04-03,2222,East,Product D,12,2014.64,1282.19,732.45,"Average experience, nothing special."
2023-04-03,1840,East,Product A,5,721.81,372.77,349.04,"Customer support resolved my issue quickly, thank you."
2023-04-03,2096,South,Product C,7,1369.1,896.54,472.56,"Fantastic product, highly recommend to others."
2023-04-04,1300,East,Product C,8,1985.46,1350.25,635.21,"Terrible experience, product was damaged."
2023-04-05,1350,East,Product C,11,2770.65,1271.1,1499.55,Loved it! Exceeded my expectations.
2023-04-05,1757,North,Product E,9,685.08,457.57,227.51,"Excellent service, very satisfied with the product quality."
2023-04-05,1415,West,Product E,10,730.51,334.61,395.9,"Not worth the price, quite disappointed."
2023-04-05,2350,West,Product B,14,1452.62,958.19,494.43,Loved it! Exceeded my expectations.
2023-04-06,1337,East,Product E,12,764.85,381.31,383.54,Good quality but shipping took too long.
2023-04-06,1161,South,Product B,12,1121.81,549.4,572.41,"Not worth the price, quite disappointed."
2023-04-06,1985,South,Product A,8,1217.7,733.21,484.49,"Average experience, nothing special."
2023-04-08,1559,East,Product B,2,194.15,123.89,70.26,"Excellent service, very satisfied with the product quality."
2023-04-08,1030,East,Product C,4,995.95,642.01,353.94,Loved it! Exceeded my expectations.
2023-04-08,2449,South,Product C,12,2997.55,1583.1,1414.45,"Fantastic product, highly recommend to others."
2023-04-09,1536,East,Product C,12,2832.58,1982.42,850.16,Loved it! Exceeded my expectations.
2023-04-09,1049,West,Product D,12,1885.21,1001.91,883.3,The delivery was late and support was not helpful.
2023-04-09,1890,Central,Product D,2,342.54,219.04,123.5,Good quality but shipping took too long.
2023-04-10,2468,South,Product C,12,2881.76,1935.42,946.34,"Average experience, nothing special."
2023-04-11,2260,Central,Product C,14,3131.64,2045.32,1086.32,Loved it! Exceeded my expectations.
2023-04-11,2165,North,Product E,10,647.58,439.01,208.57,"Not worth the price, quite disappointed."
2023-04-12,2411,West,Product D,8,1496.26,831.59,664.67,"Not worth the price, quite disappointed."
2023-04-12,1180,North,Product D,10,1834.31,833.37,1000.94,"Average experience, nothing special."
2023-04-12,2492,North,Product C,3,674.09,467.47,206.62,"Excellent service, very satisfied with the product quality."
2023-04-13,2284,South,Product B,5,392.3,222.45,169.85,Loved it! Exceeded my expectations.
2023-04-13,1929,South,Product D,2,310.02,141.53,168.49,Good quality but shipping took too long.
2023-04-14,2335,West,Product B,7,687.61,386.45,301.16,"Fantastic product, highly recommend to others."
2023-04-14,1178,West,Product C,10,1967.34,1219.61,747.73,"Great value for money, will buy again."
2023-04-14,2263,North,Product C,11,2610.97,1196.6,1414.37,"Average experience, nothing special."
2023-04-14,1607,North,Product C,3,692.51,473.31,219.2,"Terrible experience, product was damaged."
2023-04-15,1484,North,Product A,9,1315.77,721.51,594.26,The delivery was late and support was not helpful.
2023-04-15,1645,South,Product C,4,941.54,567.34,374.2,The delivery was late and support was not helpful.
2023-04-15,1205,East,Product E,4,236.21,115.97,120.24,"Terrible experience, product was damaged."
2023-04-16,1738,West,Product D,6,1119.53,572.39,547.14,Loved it! Exceeded my expectations.
2023-04-16,1605,Central,Product C,11,2781.11,1750.96,1030.15,"Fantastic product, highly recommend to others."
2023-04-17,1657,West,Product C,7,1416.15,939.03,477.12,"Not worth the price, quite disappointed."
2023-04-18,2462,East,Product D,12,1912.67,882.11,1030.56,"Great value for money, will buy again."
2023-04-18,1805,West,Product D,13,2523.69,1184.5,1339.19,"Fantastic product, highly recommend to others."
2023-04-19,1560,Central,Product A,3,458.41,245.21,213.2,"Customer support resolved my issue quickly, thank you."
2023-04-19,1769,West,Product C,2,412.85,269.91,142.94,"Fantastic product, highly recommend to others."
2023-04-19,1685,Central,Product A,3,430.44,262.53,167.91,The delivery was late and support was not helpful.
2023-04-21,1670,West,Product A,2,277.91,174.57,103.34,The delivery was late and support was not helpful.
2023-04-21,1596,Central,Product A,7,811.7,436.18,375.52,The delivery was late and support was not helpful.
2023-04-21,2410,East,Product D,11,1834.05,1143.94,690.11,Loved it! Exceeded my expectations.
2023-04-21,1904,West,Product A,7,1019.76,568.04,451.72,"Excellent service, very satisfied with the product quality."
2023-04-21,1202,North,Product C,10,2118.12,1379.92,738.2,"Excellent service, very satisfied with the product quality."
2023-04-21,1470,East,Product B,5,462.7,263.91,198.79,The delivery was late and support was not helpful.
2023-04-22,1375,Central,Product A,4,612.54,324.89,287.65,"Average experience, nothing special."
2023-04-23,1421,South,Product E,7,465.1,280.94,184.16,"Terrible experience, product was damaged."
2023-04-23,2024,North,Product B,10,1023.58,533.26,490.32,Loved it! Exceeded my expectations.
2023-04-23,2105,North,Product B,11,1134.31,646.61,487.7,"Not worth the price, quite disappointed."
2023-04-23,2498,East,Product E,7,424.63,269.0,155.63,Loved it! Exceeded my expectations.
2023-04-23,2260,East,Product A,11,1283.97,658.21,625.76,"Great value for money, will buy again."
